CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S4618,BISHOP KISULA SECONDARY SCHOOL,ARUSHA,ARUSHA URBAN,ELERAI,NON GOVERNMENT,36.65723431,-3.369755881,77.78,,1.2682,-4.141,1047,2014,NO,,,,
S4621,MKIU SECONDARY SCHOOL,PWANI,MKURANGA,NYAMATO,GOVERNMENT,39.066073,-7.45945,55.56,,1.106,-4.5142,1417,2014,NO,,,,
S4634,MBOPO SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,MABWEPANDE,GOVERNMENT,39.10721935,-6.697299111,58.33,,1.0139,-4.7083,1632,2014,NO,,,,
S4635,QANGDEND SECONDARY SCHOOL,ARUSHA,KARATU,BARAY,GOVERNMENT,35.34558019,-3.527748779,53.33,,1.2746,-3.842,1033,2014,NO,,,,
S4640,MLEWA SECONDARY SCHOOL,SINGIDA,MANYONI,MANYONI,GOVERNMENT,34.81212275,-5.7530377,63.64,,1.1014,-4.447,1429,2014,NO,,,,
S4641,SYMBIOSIS SECONDARY SCHOOL,NJOMBE,NJOMBE,RAMADHANI,NON GOVERNMENT,35.18909019,-9.223319014,100,,2.183,-1.2787,122,2014,NO,,,,
S4642,NYAMAHANGA SECONDARY SCHOOL,KAGERA,BIHARAMULO,NYAMAHANGA,GOVERNMENT,31.313579,-2.752488,50,,1.1008,-3.5398,1432,2014,NO,,,,
S4644,JKU SECONDARY SCHOOL,UNGUJA,MAGHARIBI,,NON GOVERNMENT,39.25050824,-6.165558553,100,,2.1285,-2.8298,132,2014,NO,,,,
S4650,UTWANGO SECONDARY SCHOOL,RUVUMA,NAMTUMBO,NAMABENGO,GOVERNMENT,35.84863515,-10.56281755,83.33,,1.3705,-3.7282,797,2014,NO,,,,
S4654,MWALIKO  SECONDARY SCHOOL,RUVUMA,NAMTUMBO,LIMAMU,GOVERNMENT,35.87756417,-10.81236807,68.75,,1.3265,-3.9552,909,2014,NO,,,,
S4660,MT.MASUSA SECONDARY SCHOOL ,NJOMBE,LUDEWA,LUPANGA,GOVERNMENT,34.439418,-9.713171,70.97,,1.0869,-4.3166,1463,2014,NO,,,,
S4662,KASEKE SECONDARY SCHOOL,KIGOMA,KIGOMA RURAL,SUNUKA,GOVERNMENT,29.78419248,-4.99967357,48.48,,0.9534,-4.3638,1767,2014,NO,,,,
S4664,LUNA SECONDARY SCHOOL,RUVUMA,NAMTUMBO,LUEGU,GOVERNMENT,35.8902216,-10.54082283,73.33,,1.3935,-2.9558,748,2014,NO,,,,
S4665,SKILLPATH SECONDARY SCHOOL,RUVUMA,SONGEA RURAL,,,35.52114903,-10.426992,100,,2.4365,-0.7923,92,2014,NO,,,,
S4674,UTENDE SECONDARY SCHOOL,KATAVI,,,,31.33333,-6.4,76.32,,1.4094,1.4094,714,2014,NO,,,,
S4676,CHIWALE DAY SECONDARY SCHOOL,MTWARA,MASASI,,NON GOVERNMENT,38.89494195,-10.79958092,77.78,,1.2925,-3.753,989,2014,NO,,,,
S4678,MWEDO GIRLS SECONDARY SCHOOL,ARUSHA,ARUSHA,MLANGARINI,NON GOVERNMENT,36.771895,-3.445192,74.19,,1.5912,-3.0767,427,2014,NO,,,,
S4679,NKOMOLO SECONDARY SCHOOL,RUKWA,NKASI,NKOMOLO,GOVERNMENT,30.942577,-7.469769,75,,1.3898,-3.157,755,2014,NO,,,,
S4680,MKANGALE SECONDARY SCHOOL,RUKWA,NKASI,NAMANYERE,GOVERNMENT,31.05687831,-7.519559429,83.33,,1.5869,-3.7733,434,2014,NO,,,,
S4681,KIBWEGERE SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,KIBAMBA,GOVERNMENT,39.039119,-6.772452,89.47,,1.3102,-4.1704,951,2014,NO,,,,
S4684,NAR SECONDARY SCHOOL,MANYARA,BABATI,NAR,GOVERNMENT,35.388896,-4.191439,82.35,,2.1045,-2.529,139,2014,NO,,,,
S4685,TIMBOLO BAPTIST SECONDARY SCHOOL,ARUSHA,,,,36.68333,-3.36667,54.05,,1.1121,1.1121,1404,2014,NO,,,,
S4691,KIZOMLA SECONDARY SCHOOL,PWANI,MKURANGA,MKAMBA,GOVERNMENT,38.966793,-7.40097,66.67,,1.119,-4.5213,1389,2014,NO,,,,
S4693,MBALAWALA SECONDARY SCHOOL,DODOMA,DODOMA URBAN,MBALAWALA,GOVERNMENT,35.61531603,-6.010686971,75,,1.1736,-4.4496,1258,2014,NO,,,,
S4697,KILINDI SECONDARY SCHOOL,TANGA,KILINDI,,NON GOVERNMENT,37.60774313,-5.642182894,27.27,,0.7941,-4.5263,1970,2014,NO,,,,
S4698,KORIDO SECONDARY SCHOOL,RUVUMA,NAMTUMBO,MCHOMORO,GOVERNMENT,36.460967,-10.695157,22.22,,0.6667,-4.3613,2050,2014,NO,,,,
S4699,MUHUWESI SEMINARY,RUVUMA,,,,36,-11,100,,2.6944,2.6944,70,2014,NO,,,,
S4700,LOUIS MONTFORT SECONDARY SCHOOL,DAR ES SALAAM,TEMEKE,YOMBO VITUKA,NON GOVERNMENT,39.22633,-6.877128432,100,,2.7742,-0.118,65,2014,NO,,,,
S4701,LIKUNJA SECONDARY SCHOOL,LINDI,RUANGWA,LIKUNJA,GOVERNMENT,38.91285597,-10.15735433,66.67,,1.1643,-3.8526,1283,2014,NO,,,,
S4704,NAMWINYU SECONDARY SCHOOL,RUVUMA,TUNDURU,NAMWINYU,GOVERNMENT,36.77446691,-10.77361666,45.45,,0.9454,-4.2221,1781,2014,NO,,,,
S4705,FRAY LUIS AMIGO SECONDARY SCHOOL,DAR ES SALAAM,TEMEKE,TUNGI,NON GOVERNMENT,39.323354,-6.835558,97.22,,2.5609,0.0307,79,2014,NO,,,,
S4706,FAMGI SECONDARY SCHOOL,MWANZA,,,,32.9,-2.51667,100,,3.607,3.607,26,2014,NO,,,,
S4707,ZANKA SECONDARY SCHOOL,DODOMA,BAHI,ZANKA,GOVERNMENT,35.75445589,-5.857863417,41.18,,0.8191,-4.1799,1952,2014,NO,,,,
S4708,IKOBE SECONDARY SCHOOL,GEITA,MBOGWE,IKOBE,GOVERNMENT,31.997545,-3.333645,78.95,,1.2925,-3.8255,990,2014,NO,,,,
S4709,LA MIRIAM SECONDARY SCHOOL,MOROGORO,MOROGORO URBAN,TUNGI,NON GOVERNMENT,37.66264787,-6.77664642,100,,3.3542,0.0887,36,2014,NO,,,,
S4711,KIDAHWE SECONDARY SCHOOL,KIGOMA,KIGOMA RURAL,MATENDO,GOVERNMENT,29.84133185,-4.884458764,38.46,,0.9549,-3.5612,1763,2014,NO,,,,
S4713,ANNA MAGOWA SECONDARY SCHOOL,LINDI,LIWALE,MANGIRIKITI,GOVERNMENT,37.87760377,-9.864996979,100,,1.6667,-4.0508,337,2014,NO,,,,
S4714,KIHITU SECONDARY SCHOOL,TANGA,LUSHOTO,VUGA,GOVERNMENT,38.342475,-4.904411,36.36,,0.8371,-4.1234,1935,2014,NO,,,,
S4715,KETEWAKA SECONDARY SCHOOL,NJOMBE,LUDEWA,NKOMANG'OMBE,GOVERNMENT,34.71242,-10.263107,61.54,,1.0836,-3.791,1474,2014,NO,,,,
S4718,RAUDHA ACADEMY SECONDARY SCHOOL,UNGUJA,MAGHARIBI,,NON GOVERNMENT,39.25050824,-6.165558553,100,,2.4227,-1.8138,95,2014,NO,,,,
S4721,KISHISHA SECONDARY SCHOOL,KILIMANJARO,SIHA,IVAENY,GOVERNMENT,37.123515,-3.175391,38.46,,0.9673,-4.1534,1729,2014,NO,,,,
S4723,GRACEMESAKI SECONDARY SCHOOL,SINGIDA,IRAMBA,ILUNDA,GOVERNMENT,34.84699596,-4.410360507,66.67,,0.9552,-3.9022,1762,2014,NO,,,,
S4726,BUTOBELA SECONDARY SCHOOL,GEITA,GEITA,BUTOBELA,GOVERNMENT,32.387209,-3.235374,61.54,,1.3771,-3.5999,776,2014,NO,,,,
S4728,KIBOGWA SECONDARY SCHOOL,MOROGORO,,,,37.66122,-6.82102,12,,0.5936,0.5936,2069,2014,NO,,,,
S4729,MUSASA SECONDARY SCHOOL,GEITA,BUKOMBE,MUSASA,GOVERNMENT,31.55600014,-3.369217977,80.95,,1.7648,-3.1593,255,2014,NO,,,,
S4731,MAUNGANI  SECONDARY SCHOOL,UNGUJA,MAGHARIBI,,NON GOVERNMENT,39.25050824,-6.165558553,77.27,,1.2288,-3.9025,1133,2014,NO,,,,
S4732,CHONAMA SECONDARY SCHOOL ,DODOMA,BAHI,MAKANDA,GOVERNMENT,35.38640878,-5.742944198,66.67,,1.2024,-3.2518,1187,2014,NO,,,,
S4734,LAIKALA SECONDARY SCHOOL,DODOMA,KONGWA,SAGARA,GOVERNMENT,36.6070743,-6.1836912,57.14,,0.9563,-4.5359,1757,2014,NO,,,,
S4735,IBWAGA SECONDARY SCHOOL,DODOMA,KONGWA,UGOGONI,GOVERNMENT,36.4783509,-6.225157,100,,1.4167,-3.4548,696,2014,NO,,,,
S4736,NDALIBO SECONDARY SCHOOL,DODOMA,KONGWA,MTANANA,GOVERNMENT,36.5456657,-5.9882061,50,,0.9583,-4.1302,1749,2014,NO,,,,
S4737,SETH BENJAMIN SECONDARY SCHOOL,SINGIDA,IRAMBA,MWANGA,GOVERNMENT,34.28625589,-4.433875021,33.33,,1.269,-4.0707,1043,2014,NO,,,,
S4742,LUANA SECONDARY SCHOOL,NJOMBE,LUDEWA,LUANA,GOVERNMENT,34.601999,-9.963872,41.67,,0.9136,-4.4278,1837,2014,NO,,,,
S4743,LOIBORSIRET SECONDARY SCHOOL,MANYARA,,,,36.66667,-4.75,0,,0.5119,0.5119,2084,2014,NO,,,,
S4745,MAMBOYA SECONDARY SCHOOL,MOROGORO,KILOSA,MAMBOYA,GOVERNMENT,37.09810809,-6.289524366,40,,0.9911,-4.5801,1673,2014,NO,,,,
S4747,CHAMAZI MIFE SECONDARY SCHOOL,DAR ES SALAAM,,,,39.26951,-6.82349,75.86,,1.3712,1.3712,794,2014,NO,,,,
